"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SAFB",1.87563495350981e-06,0.79061127102427,0.188,0.078,0.0291267351930539,"4","SAFB"
"CDKN1B1",1.89802716164408e-06,0.339070328513236,0.309,0.153,0.029474463793171,"4","CDKN1B"
"C1RL",1.97172749019348e-06,1.47851064225785,0.047,0.007,0.0306189561952145,"4","C1RL"
"PACSIN2",1.97890609370372e-06,0.87030710400285,0.11,0.034,0.030730432729125,"4","PACSIN2"
"ETFB1",2.00712061791506e-06,0.196899917134713,0.33,0.165,0.031168576075603,"4","ETFB"
"LCK1",2.04185375936227e-06,0.21584610846721,0.728,0.45,0.0317079470291367,"4","LCK"
"SSBP4",2.06053968098756e-06,0.466934220371402,0.304,0.151,0.0319981207060558,"4","SSBP4"
"CCPG1",2.07894716675007e-06,1.17162156347503,0.147,0.054,0.0322839705524618,"4","CCPG1"
"TMED4",2.09850686930866e-06,0.532600565290952,0.209,0.09,0.0325877131734942,"4","TMED4"
"ELMSAN1",2.10319314176498e-06,0.501857278069522,0.23,0.102,0.0326604862984684,"4","ELMSAN1"
"CKS21",2.1080997685208e-06,0.173241183662624,0.435,0.232,0.0327366813053595,"4","CKS2"
"ZNF576",2.19428580703074e-06,0.80999703907046,0.089,0.024,0.0340750642973804,"4","ZNF576"
"PRKAR2A",2.21660655669005e-06,0.94862095259106,0.188,0.079,0.0344216832188397,"4","PRKAR2A"
"PAGR1",2.22177891232562e-06,1.22797197823724,0.11,0.035,0.0345020047295046,"4","PAGR1"
"GPS2",2.22691849903899e-06,0.317427574695825,0.23,0.102,0.0345818173715765,"4","GPS2"
"RAB24",2.23238069244908e-06,1.78785336217513,0.068,0.015,0.0346666397730418,"4","RAB24"
"DDA1",2.3092580914451e-06,0.77059268493083,0.183,0.075,0.035860468902051,"4","DDA1"
"FURIN",2.31366367713326e-06,0.981618132826405,0.136,0.049,0.0359288832422024,"4","FURIN"
"UBALD1",2.33644036443806e-06,0.887982450205859,0.105,0.032,0.0362825824193586,"4","UBALD1"
"MAT2A1",2.34468356183979e-06,0.630085949611219,0.298,0.149,0.03641059103181,"4","MAT2A"
"PNPLA2",2.35533159751362e-06,0.777713778766089,0.183,0.075,0.0365759443777891,"4","PNPLA2"
"TSC22D4",2.36875688711058e-06,0.295642108716192,0.351,0.176,0.0367844256999402,"4","TSC22D4"
"SLC5A6",2.39117409902378e-06,1.37094654782942,0.073,0.017,0.0371325425837402,"4","SLC5A6"
"CAPNS12",2.57975290474728e-06,0.676853292739604,0.209,0.092,0.0400609828578205,"4","CAPNS1"
"OSBPL11",2.68742876482074e-06,1.26636355593701,0.068,0.015,0.0417330812889012,"4","OSBPL11"
"RABL2B",2.7145097312013e-06,1.39852222953132,0.099,0.03,0.042153621615825,"4","RABL2B"
"IQGAP1",2.79271962586506e-06,0.424196418033398,0.283,0.138,0.0433681430700584,"4","IQGAP1"
"RAB10",2.84964774886844e-06,0.571806533533614,0.246,0.114,0.0442521798921781,"4","RAB10"
"CD91",2.85012119285224e-06,0.393835514600328,0.178,0.071,0.0442595320038025,"4","CD9"
"RAPGEF61",2.8560138408461e-06,1.16910310972881,0.147,0.055,0.044351038934499,"4","RAPGEF6"
"VTI1B",2.90045788183131e-06,0.627494256599342,0.199,0.086,0.0450412104469584,"4","VTI1B"
"RGS101",2.92560887338435e-06,0.128673630187005,0.403,0.213,0.0454317801947855,"4","RGS10"
"GLG1",2.98676922325577e-06,1.0547524698787,0.162,0.065,0.0463815392679389,"4","GLG1"
"EIF1AX",2.99097873701748e-06,0.508794672083373,0.461,0.269,0.0464469088071445,"4","EIF1AX"
"GNPTAB1",2.99112488604901e-06,0.785252407853088,0.194,0.083,0.0464491783554551,"4","GNPTAB"
"PNRC12",3.0586047984396e-06,0.331464912035635,0.702,0.462,0.0474970739149685,"4","PNRC1"
