"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","SYMBOL","ENTREZID"
"154","AFG3L2",2.90803095916674e-07,-0.316450963424787,0.173,0.134,0.00444521612418228,"AFG3L2","10939"
"155","AFMID",4.89219426047377e-36,0.773372974557304,0.054,0.015,7.47820814656021e-32,"AFMID","125061"
"156","AFTPH",2.81117355027525e-43,0.948068858817775,0.127,0.057,4.29715988895075e-39,"AFTPH","54812"
"157","AGA",7.06611068032647e-20,0.188147551066291,0.069,0.033,1.0801256785947e-15,"AGA","175"
"158","AGAP1",1.12259884908434e-15,0.266670886719441,0.072,0.039,1.71600460071032e-11,"AGAP1","116987"
"159","AGAP1-IT1",8.38931329368328e-07,1.25772433767485,0.012,0.004,0.0128239043007243,"AGAP1-IT1","100506749"
"160","AGAP2-AS1",3.17110285573876e-17,2.12202747976171,0.014,0.002,4.84734782528228e-13,"AGAP2-AS1","100130776"
"161","AGAP3",6.3458715596531e-12,0.663347057245822,0.044,0.022,9.70029926608573e-08,"AGAP3","116988"
"162","AGAP6",4.67488124903092e-13,1.70801853893894,0.015,0.003,7.14602347726866e-09,"AGAP6","414189"
"163","AGBL5",3.34792943560118e-07,-0.302602304049508,0.03,0.016,0.00511764493525997,"AGBL5","60509"
"164","AGFG1",8.38119120139117e-51,1.26274882709401,0.087,0.027,1.28114888704465e-46,"AGFG1","3267"
"165","AGGF1",4.73663558719171e-35,0.399222008133932,0.097,0.041,7.24042115858125e-31,"AGGF1","55109"
"166","AGK",2.60041097205982e-08,0.504495210299198,0.015,0.005,0.000397498821189064,"AGK","55750"
"167","AGL",5.6615068673269e-22,0.862660014701779,0.062,0.027,8.6541793973959e-18,"AGL","178"
"168","AGMAT",7.18911456295758e-16,-0.662751332174445,0.067,0.035,1.0989280520937e-11,"AGMAT","79814"
"169","AGO1",2.9333945127013e-08,0.543716241709333,0.037,0.02,0.00044839868521152,"AGO1","26523"
"170","AGO2",1.8748542015107e-12,0.760651858461266,0.033,0.014,2.86590213242926e-08,"AGO2","27161"
