"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","pct.diff"
"258","SRRM1",0,1.01028959821085,0.247,0.128,0,0.119
"259","SLC38A2",0,1.53611875066887,0.187,0.069,0,0.118
"260","BSG",0,-0.942366850549886,0.57,0.687,0,-0.117
"261","C6orf62",0,1.71528194276109,0.171,0.054,0,0.117
"262","DNAJB6",0,1.07699393431224,0.228,0.111,0,0.117
"263","ITGB1",0,1.20083439431235,0.22,0.103,0,0.117
"264","ANXA5",0,1.67565052498079,0.174,0.057,0,0.117
"265","ZFP36L1",0,1.08860614912913,0.253,0.136,0,0.117
"266","CRYL1",0,-1.31547886399129,0.104,0.22,0,-0.116
"267","EIF3J",0,1.36819514856691,0.193,0.077,0,0.116
"268","LIPH",0,1.63882201474876,0.182,0.066,0,0.116
"269","CXCL2",0,2.88463262416993,0.146,0.03,0,0.116
"270","GPRC5A",0,0.990634346924036,0.24,0.124,0,0.116
"271","FKBP11",0,1.68138430628108,0.184,0.068,0,0.116
"272","CBX3",0,1.09932575845724,0.226,0.111,0,0.115
"273","TRAM1",0,1.50849286526301,0.179,0.064,0,0.115
"274","POLR2K",0,1.19995161006656,0.207,0.092,0,0.115
"275","TMEM165",0,1.34854864477758,0.186,0.072,0,0.114
"276","S100A13",0,0.952164368567241,0.239,0.125,0,0.114
"277","BZW1",0,1.15281860576429,0.212,0.098,0,0.114
"278","ETHE1",0,-0.655019097691946,0.58,0.694,0,-0.114
"279","HNRNPD",0,1.24058320583964,0.216,0.103,0,0.113
"280","ACTR2",0,0.93830452119371,0.251,0.138,0,0.113
"281","REG1A",0,3.13062391216177,0.177,0.064,0,0.113
"282","CCNL1",0,0.968549142065509,0.251,0.138,0,0.113
"283","RCN1",0,1.5240574374676,0.179,0.066,0,0.113
"284","LRRC59",0,1.00436270775668,0.244,0.131,0,0.113
"285","SPTBN1",0,1.03164262189417,0.244,0.132,0,0.112
"286","SEC61A1",0,1.23711642502309,0.208,0.096,0,0.112
"287","ST6GALNAC6",0,1.51193492057522,0.178,0.066,0,0.112
"288","NFKBIZ",0,1.52808079559562,0.186,0.075,0,0.111
"289","NSA2",0,0.948807928496761,0.236,0.125,0,0.111
"290","CMTM6",0,1.490286946684,0.17,0.06,0,0.11
"291","UFM1",0,1.34729443651478,0.185,0.075,0,0.11
"292","HK2",0,2.29368606165453,0.161,0.052,0,0.109
"293","DNAJC3",0,1.88340371811731,0.153,0.044,0,0.109
"294","CLCN3",0,1.86720307182904,0.152,0.044,0,0.108
"295","HSPH1",0,1.80960089184926,0.154,0.046,0,0.108
"296","GALNT7",0,1.92617959895338,0.149,0.041,0,0.108
"297","PDXDC1",0,1.14916243636413,0.204,0.096,0,0.108
"298","PRRC2C",0,1.05841600130325,0.212,0.105,0,0.107
"299","SPCS3",0,1.27548589185179,0.186,0.079,0,0.107
"300","PNRC1",0,1.26652487977154,0.191,0.084,0,0.107
"301","AMD1",0,1.22849419761533,0.19,0.083,0,0.107
"302","HSD17B12",0,1.22454505811556,0.191,0.084,0,0.107
"303","SNRPB2",0,1.02144500645613,0.218,0.111,0,0.107
"304","ZC3H12A",0,1.94724136424962,0.149,0.043,0,0.106
"305","TAF1D",0,1.19857820317838,0.191,0.085,0,0.106
"306","LDLR",0,2.177039688765,0.137,0.032,0,0.105
"307","PARM1",0,1.21394015274238,0.205,0.1,0,0.105
"308","AP2B1",0,1.45412897830071,0.169,0.066,0,0.103
"309","CERS6",0,1.76900619645145,0.151,0.048,0,0.103
"310","SAA1",0,6.41829113735277,0.105,0.002,0,0.103
"311","CCND2",0,1.31666411726317,0.187,0.084,0,0.103
"312","GALNT3",0,1.53713649637045,0.155,0.053,0,0.102
"313","PPARG",0,-1.50603895699354,0.066,0.168,0,-0.102
