"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"RHOU",5.35322471393502e-11,5.80444371091298,0.044,0.001,3.20342320106585e-06,"3","RHOU"
"CD4",5.35322471393502e-11,6.21389638043209,0.044,0.001,3.20342320106585e-06,"3","CD4"
"IFI44L",6.48217405703743e-11,6.03772125662065,0.048,0.002,3.87899777747177e-06,"3","IFI44L"
"S100B",6.67537260870843e-11,2.93945288117335,0.048,0.002,3.99460972277721e-06,"3","S100B"
"FAM53B",7.6118808085865e-11,0.879777197266566,0.319,0.139,4.55502559466625e-06,"3","FAM53B"
"NFKBIA",8.49669369781569e-11,1.90473112313871,0.428,0.244,5.08450647570989e-06,"3","NFKBIA"
"DKK3",9.06273363675898e-11,2.26289390003749,0.118,0.025,5.42323043557294e-06,"3","DKK3"
"EEF1B2",9.08214556565746e-11,1.27057218908468,0.69,0.584,5.43484672794508e-06,"3","EEF1B2"
"MORN3",1.06687896215353e-10,3.79988664063637,0.066,0.006,6.38431039742291e-06,"3","MORN3"
"STMN3",1.16242490866549e-10,2.18803219415026,0.218,0.08,6.95606689594514e-06,"3","STMN3"
"CDC42EP3",1.25247898078562e-10,1.19381787522851,0.345,0.157,7.49495946891926e-06,"3","CDC42EP3"
"RMND5B",1.25472183841309e-10,2.97285243941827,0.066,0.006,7.5083809532478e-06,"3","RMND5B"
"THEMIS2",1.37468019313202e-10,1.32389574410899,0.153,0.041,8.22622374372135e-06,"3","THEMIS2"
"C16orf541",1.76644992927461e-10,1.05941531175685,0.498,0.293,1.05706130217722e-05,"3","C16orf54"
"SSR3",1.82681794618796e-10,1.36104810976253,0.354,0.166,1.09318612717834e-05,"3","SSR3"
"CNR2",1.84232876360424e-10,3.67892108675567,0.061,0.005,1.10246795542841e-05,"3","CNR2"
"NUAK2",1.95225199494444e-10,3.51330863517003,0.061,0.005,1.1682471162947e-05,"3","NUAK2"
"ESPN",2.10477195206495e-10,2.44997131535517,0.061,0.005,1.25951658383518e-05,"3","ESPN"
