"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ACTN11",0,2.36183755247091,0.374,0.078,0,"4","ACTN1"
"PRKCA1",0,2.47553774821113,0.378,0.086,0,"4","PRKCA"
"TAFA2",0,3.39181395122946,0.31,0.041,0,"4","TAFA2"
"CR11",0,3.61028965912784,0.291,0.03,0,"4","CR1"
"PASK",0,3.50857727485779,0.289,0.034,0,"4","PASK"
"MYC",0,3.15452312855514,0.233,0.029,0,"4","MYC"
"ANK11",0,3.03887645011428,0.231,0.03,0,"4","ANK1"
"ARHGAP151",0,1.16302323322998,0.926,0.727,0,"4","ARHGAP15"
"SNX91",0,2.92461966712823,0.233,0.035,0,"4","SNX9"
"NT5E1",0,3.18574524271914,0.21,0.027,0,"4","NT5E"
"SARAF1",0,1.27408844803239,0.974,0.811,0,"4","SARAF"
"EEF1G1",0,1.17945504198531,0.955,0.808,0,"4","EEF1G"
"AK5",0,4.10861582961396,0.151,0.01,0,"4","AK5"
"EEF1B21",0,1.29438511513319,0.977,0.889,0,"4","EEF1B2"
"PABPC11",0,1.05135580104823,0.989,0.915,0,"4","PABPC1"
"EEF21",0,0.897371217760724,0.978,0.92,0,"4","EEF2"
"RACK11",0,0.862798150310881,0.992,0.957,0,"4","RACK1"
"EEF1A1",0,0.91118056533,1,0.999,0,"4","EEF1A1"
"TPT11",0,1.11581417006044,0.995,0.994,0,"4","TPT1"
